"customerid","last_purcahsed_day","recency","frequency","monetary"
"12346.0","18","5253","2","0.00"
"12347.0","7","4930","7","4310.00"
"12348.0","25","5003","4","1797.24"
"12349.0","21","4946","1","1757.55"
"12350.0","2","5238","1","334.40"
"12352.0","3","4964","11","1545.41"
"12353.0","19","5132","1","89.00"
"12354.0","21","5160","1","1079.40"
"12355.0","9","5142","1","459.40"
"12356.0","17","4950","3","2811.43"
"12357.0","6","4961","1","6207.67"
"12358.0","8","4929","2","1168.06"
"12359.0","2","4935","6","6245.53"
"12360.0","18","4980","3","2662.06"
"12361.0","25","5215","1","189.90"
"12362.0","6","4931","13","5154.58"
"12363.0","22","5037","2","552.00"
"12364.0","2","4935","4","1313.10"
"12365.0","21","5219","3","320.69"
"12367.0","5","4932","1","168.90"
"12370.0","19","4979","4","3545.69"
"12371.0","26","4972","2","1887.96"
"12372.0","29","4999","3","1298.04"
"12373.0","1","5239","1","364.60"
"12374.0","14","4953","1","742.93"
"12375.0","7","4930","3","455.42"
"12377.0","28","5243","2","1628.12"
"12378.0","2","5057","1","4008.62"
"12379.0","19","5009","3","850.29"
"12380.0","18","4949","5","2720.56"
"12381.0","5","4932","6","1803.96"
"12383.0","8","5112","6","1839.31"
"12384.0","11","4956","3","566.16"
"12386.0","6","5265","2","401.90"
"12388.0","24","4943","6","2780.66"
"12390.0","21","5007","1","549.84"
"12391.0","18","4949","1","460.89"
"12393.0","28","5000","4","1582.60"
"12394.0","7","4991","2","1272.48"
"12395.0","24","4943","15","2998.28"
"12397.0","4","4963","2","2409.90"
"12398.0","25","4973","1","1635.66"
"12399.0","12","5047","4","1108.65"
"12401.0","9","5231","1","84.30"
"12402.0","20","5251","1","225.60"
"12403.0","21","4977","2","409.70"
"12405.0","14","5076","1","1710.39"
"12406.0","17","4950","3","3280.75"
"12407.0","21","4977","5","1708.12"
"12408.0","7","4960","9","2842.57"
"12409.0","22","5006","7","11056.93"
"12410.0","11","5229","3","681.08"
"12412.0","26","5002","3","1226.88"
"12413.0","4","4994","5","694.15"
"12414.0","6","5145","3","562.41"
"12415.0","15","4952","26","123725.45"
"12417.0","6","4931","12","3578.80"
"12418.0","19","5040","1","668.58"
"12420.0","7","4991","1","600.39"
"12421.0","24","4943","5","806.27"
"12422.0","5","5023","3","803.56"
"12423.0","9","4928","9","1849.11"
"12424.0","30","5090","2","1760.96"
"12425.0","22","5006","1","777.20"
"12426.0","29","5122","1","582.73"
"12427.0","28","4939","5","708.37"
"12428.0","14","4953","12","7877.20"
"12429.0","30","4937","4","3750.40"
"12430.0","27","4971","1","256.40"
"12431.0","4","4963","18","6416.39"
"12432.0","28","4970","5","5059.32"
"12433.0","9","4928","7","13375.87"
"12434.0","16","5012","4","765.19"
"12435.0","21","5007","2","7829.89"
"12436.0","1","5027","1","509.01"
"12437.0","8","4929","19","4896.66"
"12438.0","25","4942","2","2906.85"
"12441.0","8","5294","1","173.55"
"12442.0","6","4931","1","172.06"
"12444.0","18","4949","5","5005.46"
"12445.0","17","4950","1","133.40"
"12446.0","13","4985","1","1002.31"
"12447.0","10","5171","1","476.49"
"12448.0","26","4972","1","449.45"
"12449.0","17","4950","4","4067.29"
"12450.0","6","5084","2","197.88"
"12451.0","29","4938","6","8933.52"
"12452.0","23","4944","3","428.57"
"12453.0","28","5062","1","707.09"
"12454.0","17","4981","2","0.00"
"12455.0","27","5001","6","2466.86"
"12456.0","26","4972","4","3153.89"
"12457.0","12","4986","12","1917.78"
"12458.0","29","4999","2","947.40"
"12461.0","6","5022","2","826.88"
"12462.0","7","4930","4","1124.01"
"12463.0","24","4974","7","1303.63"
"12464.0","29","4938","8","1212.05"
"12465.0","2","4935","3","733.89"
"12468.0","19","5071","3","724.04"
"12471.0","7","4930","49","18740.92"
"12472.0","9","4958","13","6229.48"
"12473.0","10","4957","9","2848.23"
"12474.0","22","4945","30","7116.47"
"12475.0","17","4981","1","723.38"
"12476.0","8","4929","20","6546.58"
"12477.0","17","4950","9","13117.01"
"12478.0","6","4931","1","680.99"
"12479.0","6","4931","3","477.30"
"12480.0","11","4956","4","3281.63"
"12481.0","17","4950","11","5590.86"
"12483.0","22","4945","13","2327.13"
"12484.0","7","4960","8","4495.27"
"12488.0","30","4937","3","1298.66"
"12489.0","7","5264","1","334.93"
"12490.0","4","4933","10","5417.93"
"12491.0","1","4966","1","460.40"
"12492.0","7","4991","2","263.21"
"12493.0","27","5093","3","416.79"
"12494.0","30","4937","13","1139.35"
"12497.0","19","5009","1","1043.10"
"12498.0","18","4949","3","403.70"
"12500.0","16","4951","13","4206.27"
"12501.0","28","5243","2","2089.68"
"12502.0","5","5023","5","3723.87"
"12503.0","6","5265","1","-1126.00"
"12504.0","21","4946","4","114.00"
"12505.0","11","5229","1","-4.50"
"12506.0","21","5160","1","73.50"
"12507.0","28","5062","4","1258.06"
"12508.0","13","4954","2","398.27"
"12509.0","28","5212","1","176.50"
"12510.0","20","5070","2","982.57"
"12512.0","4","4994","2","138.03"
"12513.0","16","5012","2","586.79"
"12514.0","17","5195","1","1017.68"
"12515.0","21","5281","1","383.70"
"12516.0","23","5005","2","1312.06"
"12517.0","11","4956","6","2464.89"
"12518.0","9","4928","5","2056.89"
"12519.0","7","4991","1","340.84"
"12520.0","21","5007","6","2582.51"
"12521.0","20","5070","1","599.68"
"12522.0","31","4967","2","192.72"
"12523.0","8","4929","13","1745.57"
"12524.0","30","4937","8","4485.72"
"12526.0","9","4928","3","1316.66"
"12527.0","19","5009","3","348.71"
"12528.0","30","4937","8","1922.28"
"12530.0","11","4987","5","1623.63"
"12531.0","25","4942","1","125.22"
"12532.0","9","4958","1","349.83"
"12534.0","1","5058","1","1089.18"
"12535.0","9","5019","2","716.35"
"12536.0","2","4935","5","4106.82"
"12538.0","10","4957","1","363.95"
"12539.0","17","4950","5","3852.50"
"12540.0","20","4947","19","13309.04"
"12541.0","10","4957","3","981.18"
"12544.0","10","4957","2","355.70"
"12545.0","25","5003","2","1000.39"
"12546.0","24","4974","3","1141.50"
"12547.0","26","5125","2","207.80"
"12548.0","26","5094","1","95.20"
"12550.0","21","5007","1","964.83"
"12551.0","17","5285","1","168.00"
"12552.0","1","4966","2","437.82"
"12553.0","1","4936","14","3652.25"
"12556.0","20","4978","2","603.71"
"12557.0","23","4944","5","11990.96"
"12558.0","8","4929","2","0.00"
"12559.0","2","5238","3","536.21"
"12560.0","4","4933","4","2101.39"
"12561.0","10","5230","1","238.85"
"12562.0","1","4936","7","3781.74"
"12564.0","23","5189","1","456.90"
"12565.0","3","5209","2","131.17"
"12566.0","28","5000","2","346.70"
"12567.0","17","4950","11","9114.94"
"12569.0","7","4930","35","4064.99"
"12571.0","31","4967","2","519.61"
"12572.0","1","4936","3","1004.72"
"12573.0","26","5155","1","160.54"
"12574.0","28","5243","1","218.45"
"12576.0","4","4963","6","1306.98"
"12577.0","4","4963","4","595.40"
"12578.0","18","4949","4","2753.36"
"12579.0","27","5001","3","410.72"
"12580.0","7","5174","1","415.70"
"12581.0","31","4967","1","197.71"
"12582.0","15","5166","2","511.36"
"12583.0","7","4930","18","7187.34"
"12584.0","6","4931","18","1893.95"
"12585.0","19","5162","4","1982.81"
"12586.0","22","4945","2","179.94"
"12587.0","2","4935","1","144.00"
"12588.0","31","4967","1","214.90"
"12589.0","11","4956","2","646.68"
"12590.0","2","5118","3","9861.38"
"12591.0","26","5245","1","452.85"
"12592.0","8","5020","2","437.60"
"12593.0","23","5036","3","418.10"
"12594.0","2","4965","11","3320.22"
"12596.0","19","4979","2","618.27"
"12597.0","20","4947","5","3683.13"
"12598.0","30","4937","9","3002.68"
"12599.0","10","4957","7","1032.58"
"12600.0","11","4956","11","2581.04"
"12601.0","3","5117","6","569.56"
"12602.0","12","4986","1","153.12"
"12603.0","18","4949","1","739.20"
"12604.0","21","5007","2","254.18"
