"customerid","last_purcahsed_day","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"13065.0","1","5301","1","205.86",1,1,1,"111","At Risk"
"15350.0","1","5301","1","115.65",1,1,1,"111","At Risk"
"12791.0","1","5301","1","192.60",1,1,1,"111","At Risk"
"16274.0","1","5301","1","357.95",1,1,2,"112","At Risk"
"14142.0","1","5301","1","311.81",1,1,2,"112","At Risk"
"14729.0","1","5301","1","313.49",1,1,2,"112","At Risk"
"17968.0","1","5301","1","277.35",1,1,2,"112","At Risk"
"16583.0","1","5301","1","233.45",1,1,1,"111","At Risk"
"18011.0","1","5301","1","102.79",1,1,1,"111","At Risk"
"14237.0","1","5301","1","161.00",1,1,1,"111","At Risk"
"17643.0","1","5301","1","101.55",1,1,1,"111","At Risk"
"18074.0","1","5301","1","489.60",1,2,3,"123","At Risk"
"17908.0","1","5301","1","243.28",1,1,2,"112","At Risk"
"15165.0","1","5301","1","487.75",1,2,3,"123","At Risk"
"13747.0","1","5301","1","79.60",1,2,1,"121","At Risk"
"16752.0","2","5300","1","207.50",1,1,1,"111","At Risk"
"17547.0","2","5300","1","-11.80",1,2,1,"121","At Risk"
"12738.0","2","5300","1","155.35",1,1,1,"111","At Risk"
"15923.0","2","5300","1","127.08",1,1,1,"111","At Risk"
"16995.0","2","5300","1","-1.25",1,2,1,"121","At Risk"
"17976.0","2","5300","1","353.19",1,1,2,"112","At Risk"
"13108.0","2","5300","1","350.06",1,1,2,"112","At Risk"
"14576.0","2","5300","1","35.40",1,2,1,"121","At Risk"
"17855.0","2","5300","1","208.97",1,1,1,"111","At Risk"
"16754.0","2","5300","1","2002.40",1,2,4,"124","At Risk"
"13011.0","2","5300","1","50.55",1,2,1,"121","At Risk"
"15922.0","2","5300","2","363.60",1,3,2,"132","Others"
"17925.0","2","5300","1","244.08",1,1,2,"112","At Risk"
"13958.0","2","5300","1","-102.45",1,1,1,"111","At Risk"
"17732.0","2","5300","1","303.97",1,1,2,"112","At Risk"
"16510.0","2","5300","1","248.10",1,1,2,"112","At Risk"
"12855.0","2","5300","1","38.10",1,2,1,"121","At Risk"
"15070.0","2","5300","1","106.20",1,1,1,"111","At Risk"
"12725.0","3","5299","1","427.80",1,2,2,"122","At Risk"
"16926.0","3","5299","1","230.25",1,1,1,"111","At Risk"
"12686.0","3","5299","1","89.14",1,2,1,"121","At Risk"
"17967.0","3","5299","1","123.07",1,1,1,"111","At Risk"
"14589.0","3","5299","1","39.75",1,2,1,"121","At Risk"
"14679.0","3","5299","1","-2.55",1,2,1,"121","At Risk"
"14213.0","3","5299","1","-1192.20",1,2,1,"121","At Risk"
"16718.0","5","5297","1","623.75",1,2,3,"123","At Risk"
"15880.0","5","5297","2","313.28",1,2,2,"122","At Risk"
"14813.0","5","5297","2","155.43",1,3,1,"131","Others"
"15899.0","6","5296","1","56.25",1,2,1,"121","At Risk"
"17860.0","6","5296","1","252.80",1,1,2,"112","At Risk"
"16138.0","6","5296","1","-7.95",1,2,1,"121","At Risk"
"16658.0","6","5296","1","123.24",1,1,1,"111","At Risk"
"18113.0","6","5296","1","76.32",1,2,1,"121","At Risk"
"13786.0","7","5295","1","230.40",1,1,1,"111","At Risk"
"16125.0","7","5295","1","289.35",1,1,2,"112","At Risk"
"18119.0","7","5295","1","181.12",1,1,1,"111","At Risk"
"15180.0","7","5295","1","87.50",1,2,1,"121","At Risk"
"13807.0","7","5295","1","112.60",1,1,1,"111","At Risk"
"16679.0","8","5294","1","129.75",1,1,1,"111","At Risk"
"12870.0","8","5294","1","-14.90",1,2,1,"121","At Risk"
"13370.0","8","5294","2","721.32",1,2,3,"123","At Risk"
"15221.0","8","5294","2","114.10",1,3,1,"131","Others"
"13270.0","8","5294","1","590.00",1,2,3,"123","At Risk"
"14821.0","8","5294","1","48.80",1,2,1,"121","At Risk"
"15347.0","8","5294","1","201.60",1,1,1,"111","At Risk"
"16858.0","8","5294","2","345.89",1,3,2,"132","Others"
"16252.0","8","5294","1","-295.09",1,1,1,"111","At Risk"
"15332.0","8","5294","4","1661.06",1,4,4,"144","Others"
"12441.0","8","5294","1","173.55",1,1,1,"111","At Risk"
"16893.0","8","5294","1","145.93",1,1,1,"111","At Risk"
"12605.0","9","5293","1","-7.50",1,2,1,"121","At Risk"
"16795.0","9","5293","1","414.88",1,2,2,"122","At Risk"
"17978.0","9","5293","1","300.92",1,1,2,"112","At Risk"
"15945.0","9","5293","1","181.00",1,1,1,"111","At Risk"
"14932.0","9","5293","1","363.53",1,1,2,"112","At Risk"
"14355.0","9","5293","1","174.40",1,1,1,"111","At Risk"
"17307.0","9","5293","1","-152.64",1,1,1,"111","At Risk"
"16579.0","9","5293","1","-30.60",1,1,1,"111","At Risk"
"17456.0","9","5293","1","249.86",1,1,2,"112","At Risk"
"16781.0","9","5293","2","294.65",1,2,2,"122","At Risk"
"16065.0","9","5293","1","372.09",1,2,2,"122","At Risk"
"17880.0","10","5292","1","458.92",1,2,2,"122","At Risk"
"16727.0","10","5292","1","272.82",1,1,2,"112","At Risk"
"16565.0","10","5292","1","173.70",1,1,1,"111","At Risk"
"15723.0","10","5292","1","203.10",1,1,1,"111","At Risk"
"14082.0","10","5292","1","182.25",1,1,1,"111","At Risk"
"15454.0","12","5290","1","179.10",1,1,1,"111","At Risk"
"14413.0","12","5290","1","122.70",1,1,1,"111","At Risk"
"17251.0","12","5290","1","283.28",1,1,2,"112","At Risk"
"18004.0","12","5290","1","169.47",1,1,1,"111","At Risk"
"15503.0","12","5290","1","147.09",1,1,1,"111","At Risk"
"16665.0","12","5290","1","135.40",1,1,1,"111","At Risk"
"17303.0","13","5289","1","250.04",1,1,2,"112","At Risk"
"17524.0","13","5289","1","145.00",1,1,1,"111","At Risk"
"15361.0","13","5289","1","418.92",1,2,2,"122","At Risk"
"13948.0","14","5288","1","102.00",1,1,1,"111","At Risk"
"16262.0","14","5288","1","-31.65",1,1,1,"111","At Risk"
"16202.0","14","5288","1","365.27",1,1,2,"112","At Risk"
"12797.0","14","5288","3","194.18",1,3,1,"131","Others"
"16812.0","14","5288","1","479.35",1,2,3,"123","At Risk"
"16499.0","14","5288","5","319.10",1,4,2,"142","Others"
"18141.0","14","5288","1","-35.40",1,1,1,"111","At Risk"
"13295.0","15","5287","2","197.95",1,2,1,"121","At Risk"
"17525.0","15","5287","1","422.70",1,2,2,"122","At Risk"
"12666.0","15","5287","1","-227.44",1,1,1,"111","At Risk"
"17551.0","15","5287","1","306.84",1,1,2,"112","At Risk"
"17752.0","15","5287","1","80.64",1,2,1,"121","At Risk"
"18050.0","15","5287","1","74.40",1,2,1,"121","At Risk"
"13829.0","15","5287","1","-102.00",1,1,1,"111","At Risk"
"17691.0","16","5286","2","290.40",1,2,2,"122","At Risk"
"15789.0","16","5286","1","351.30",1,1,2,"112","At Risk"
"15224.0","16","5286","3","310.48",1,3,2,"132","Others"
"14373.0","16","5286","1","76.55",1,2,1,"121","At Risk"
"17496.0","16","5286","1","271.05",1,1,2,"112","At Risk"
"13874.0","16","5286","1","540.45",1,2,3,"123","At Risk"
"18269.0","16","5286","2","138.90",1,3,1,"131","Others"
"15160.0","17","5285","1","158.16",1,1,1,"111","At Risk"
"13033.0","17","5285","1","190.55",1,1,1,"111","At Risk"
"12551.0","17","5285","1","168.00",1,1,1,"111","At Risk"
"15204.0","17","5285","1","316.58",1,1,2,"112","At Risk"
"17343.0","19","5283","1","193.64",1,1,1,"111","At Risk"
"15460.0","20","5282","1","216.76",1,1,1,"111","At Risk"
"14119.0","20","5282","1","-19.90",1,1,1,"111","At Risk"
"18256.0","20","5282","1","-50.10",1,1,1,"111","At Risk"
"15279.0","20","5282","2","277.41",1,2,2,"122","At Risk"
"13369.0","20","5282","2","263.75",1,2,2,"122","At Risk"
"12515.0","21","5281","1","383.70",1,2,2,"122","At Risk"
"16270.0","21","5281","1","1141.24",1,1,4,"114","At Risk"
"18176.0","21","5281","2","448.65",1,2,2,"122","At Risk"
"12734.0","22","5280","1","110.40",1,1,1,"111","At Risk"
"13304.0","23","5279","1","300.42",1,1,2,"112","At Risk"
"13922.0","23","5279","1","172.25",1,1,1,"111","At Risk"
"15562.0","23","5279","1","134.55",1,1,1,"111","At Risk"
"16282.0","4","5267","1","168.30",1,1,1,"111","At Risk"
"15266.0","5","5266","1","119.30",1,1,1,"111","At Risk"
"15464.0","5","5266","1","1048.85",1,1,4,"114","At Risk"
"12386.0","6","5265","2","401.90",1,3,2,"132","Others"
"15823.0","6","5265","2","-840.76",1,3,1,"131","Others"
"12503.0","6","5265","1","-1126.00",1,1,1,"111","At Risk"
"13187.0","6","5265","1","236.02",1,1,2,"112","At Risk"
"15649.0","7","5264","2","816.00",1,3,3,"133","Others"
"14889.0","7","5264","1","135.90",1,1,1,"111","At Risk"
"12489.0","7","5264","1","334.93",1,1,2,"112","At Risk"
"15607.0","7","5264","1","104.76",1,1,1,"111","At Risk"
"18032.0","9","5262","1","73.50",1,2,1,"121","At Risk"
"12793.0","9","5262","2","545.48",1,2,3,"123","At Risk"
"17128.0","9","5262","1","157.09",1,1,1,"111","At Risk"
"12651.0","9","5262","1","114.00",1,1,1,"111","At Risk"
"16850.0","10","5261","1","332.41",1,1,2,"112","At Risk"
"15326.0","10","5261","1","311.71",1,1,2,"112","At Risk"
"16351.0","11","5260","1","153.90",1,1,1,"111","At Risk"
"12736.0","11","5260","1","234.00",1,1,1,"111","At Risk"
"15346.0","11","5260","1","252.42",1,1,2,"112","At Risk"
"13144.0","11","5260","1","110.95",1,1,1,"111","At Risk"
"17569.0","11","5260","1","344.14",1,1,2,"112","At Risk"
"14185.0","12","5259","1","197.65",1,1,1,"111","At Risk"
"14270.0","12","5259","1","492.65",1,2,3,"123","At Risk"
"15510.0","13","5258","1","250.00",1,1,2,"112","At Risk"
"18085.0","13","5258","2","689.95",1,2,3,"123","At Risk"
"16315.0","13","5258","1","226.37",1,1,1,"111","At Risk"
"15447.0","13","5258","1","155.17",1,1,1,"111","At Risk"
"17406.0","13","5258","5","1928.72",1,4,4,"144","Others"
"15100.0","13","5258","6","635.10",1,4,3,"143","Others"
"12672.0","14","5257","1","225.90",1,1,1,"111","At Risk"
"18106.0","14","5257","1","430.70",1,2,2,"122","At Risk"
"13385.0","14","5257","1","534.57",1,2,3,"123","At Risk"
"14238.0","17","5254","1","146.85",1,1,1,"111","At Risk"
"12872.0","17","5254","2","599.97",1,2,3,"123","At Risk"
"15316.0","17","5254","1","165.00",1,1,1,"111","At Risk"
"13859.0","17","5254","1","201.16",1,1,1,"111","At Risk"
"18212.0","17","5254","1","248.42",1,1,2,"112","At Risk"
"12346.0","18","5253","2","0.00",1,2,1,"121","At Risk"
"18233.0","18","5253","1","440.00",1,2,2,"122","At Risk"
"13898.0","18","5253","1","155.93",1,1,1,"111","At Risk"
"13693.0","18","5253","2","-32.00",1,2,1,"121","At Risk"
"15395.0","18","5253","1","107.45",1,1,1,"111","At Risk"
"12665.0","19","5252","2","61.75",1,3,1,"131","Others"
"14090.0","19","5252","1","76.32",1,2,1,"121","At Risk"
"15171.0","19","5252","2","1034.50",1,3,4,"134","Others"
"13008.0","20","5251","2","178.47",1,2,1,"121","At Risk"
"15262.0","20","5251","1","178.95",1,1,1,"111","At Risk"
"17862.0","20","5251","1","330.90",1,1,2,"112","At Risk"
"12402.0","20","5251","1","225.60",1,1,1,"111","At Risk"
"15422.0","20","5251","2","97.70",1,3,1,"131","Others"
"16387.0","21","5250","1","94.36",1,2,1,"121","At Risk"
"15174.0","21","5250","1","135.75",1,1,1,"111","At Risk"
"13284.0","21","5250","2","196.15",1,2,1,"121","At Risk"
"12652.0","21","5250","2","914.53",1,3,4,"134","Others"
"12829.0","21","5250","3","253.05",1,3,2,"132","Others"
"17890.0","21","5250","2","602.09",1,2,3,"123","At Risk"
"15167.0","23","5248","1","163.00",1,1,1,"111","At Risk"
"14068.0","23","5248","1","265.85",1,1,2,"112","At Risk"
"17714.0","23","5248","1","153.00",1,1,1,"111","At Risk"
"15820.0","24","5247","1","206.98",1,1,1,"111","At Risk"
